"Story","Title","Result","Date","Stability","Duration (s)"
"Students CRUD test","Adding new student record into the StudentApp","SUCCESS","2020-05-01T15:59:26.213-04:00","0.0","0.82"
"Students CRUD test","Deleting the student based upon the id","SUCCESS","2020-05-01T15:59:27.945-04:00","0.0","0.17"
"First serenity test","Get all students info","SUCCESS","2020-05-01T15:59:22.259-04:00","0.0","0.21"
"First serenity test","This is adding title below method to get all students info","SUCCESS","2020-05-01T15:59:17.186-04:00","0.0","4.76"
"Students CRUD test","Updating the student first name based upon the id","SUCCESS","2020-05-01T15:59:27.689-04:00","0.0","0.26"
"Students CRUD test","Verify the student value","SUCCESS","2020-05-01T15:59:27.031-04:00","0.0","0.66"
