"Story","Title","Result","Date","Stability","Duration (s)"
"Students CRUD test","Adding new student record into the StudentApp","SUCCESS","2020-05-01T15:59:26.213-04:00","0.0","0.82"
"Students CRUD test","Deleting the student based upon the id","SUCCESS","2020-05-01T15:59:27.945-04:00","0.0","0.17"
"Students CRUD test","Updating the student first name based upon the id","SUCCESS","2020-05-01T15:59:27.689-04:00","0.0","0.26"
"Students CRUD test","Verify the student value","SUCCESS","2020-05-01T15:59:27.031-04:00","0.0","0.66"
